Species Name,In JSON List,Total Photos (Label),Has Taxonomic Keyword,Published to SmugMug,Mismatched/Needs Tagging
Green Kingfisher,Yes,63,1,1,62
Harlequin Duck,Yes,63,1,1,62
Heermann's Gull,Yes,63,1,1,62
Lark Sparrow,Yes,63,1,1,62
Patagonian Sierra Finch,No,63,1,1,62
Eurasian Oystercatcher,No,66,5,5,61
Red-breasted Sapsucker,Yes,63,2,2,61
Cream-winged Cinclodes,No,60,2,2,59
Peregrine Falcon,Yes,60,1,1,59
Dark-eyed Junco,Yes,61,3,3,58
Scissor-tailed Flycatcher,Yes,60,13,2,58
Violet Sabrewing,No,60,2,2,58
Common Loon,Yes,59,3,3,57
Long-billed Curlew,Yes,59,2,2,57
Rufous-collared Sparrow,Yes,58,4,1,57
Wilson's Snipe,Yes,58,2,2,56
Lava Gull,Yes,57,1,1,56
Banana Slug,No,56,0,0,56
Gray Jay,No,55,0,1,55
Inca Jay,No,55,0,1,55
Rufous-tailed Jacamar,Yes,57,3,3,54
Short-eared Owl,Yes,57,4,4,54
Piping Plover,Yes,56,2,2,54
Spotted Sandpiper,Yes,55,1,1,54
Torrent Duck,Yes,55,92,1,54
Willet,Yes,54,1,1,54
European Golden-Plover,Yes,56,3,3,53
Pied-billed Grebe,Yes,55,2,2,53
Sunfish,No,52,0,0,52
Green Honeycreeper,Yes,54,3,3,51
Cinnamon Flycatcher,No,52,1,1,51
Collared Plover,Yes,52,1,1,51
Bank Swallow,Yes,51,1,1,51
Drive Away,No,51,0,0,51
Stellar's Jay,No,51,0,1,51
Chestnut-sided Warbler,Yes,51,1,1,50
Yellowlegs,No,50,0,0,50
Hermit Thrush,Yes,52,3,3,49
Rufous Motmot,No,51,2,2,49
Yellow-breasted Antpitta,Yes,50,1,1,49
Great Albatross,No,49,0,1,49
Rufous-crowned Sparrow,Yes,49,16,1,49
Tufted Coquette,Yes,53,5,5,48
Kelp Goose,Yes,50,2,3,48
Tufted Puffin,Yes,49,1,1,48
Bride Sings,No,48,0,0,48
Purple Gallinule,Yes,47,1,1,46
Wrentit,Yes,47,1,1,46
Steamer Duck,No,46,0,2,46
Tarantula,No,46,0,0,46
White-chinned Petrel,No,48,49,3,45
Southern Lapwing,Yes,47,35,4,44
Crested Guan,Yes,46,2,2,44
White Wagtail,Yes,46,2,3,44
White-tailed Tropicbird,Yes,45,1,1,44
Crab,No,44,0,0,44
Grass Wren,No,44,1,1,43
Great-tailed Grackle,Yes,44,1,2,43
Gadwall,Yes,43,1,1,42
Western Sandpiper,Yes,43,1,1,42
Leopard Seal,No,42,0,1,42
Winter Wren,No,42,0,0,42
Galapagos Flycatcher,No,42,1,1,41
Tawny-throated Leaftosser,No,41,0,0,41
Streak-headed Woodcreeper,No,41,1,1,40
Yellow-breasted Chat,Yes,41,2,1,39
Macaroni Penguin,No,41,3,3,38
Marbled Godwit,Yes,40,2,2,38
Bananaquit,No,39,1,1,38
Least Grebe,Yes,39,1,1,38
Magellanic Woodpecker,No,39,94,2,38
Southern Rockhopper Penguin,No,39,2,2,38
Bobcat,No,38,0,0,38
Harris's Hawk,Yes,38,13,1,37
Palm Warbler,Yes,38,1,1,37
Ring-billed Gull,Yes,38,1,1,37
Kingbird,No,37,0,0,37
Galapagos Hawk,No,38,2,2,36
Palm Tanager,Yes,38,2,2,36
Say's Phoebe,Yes,38,2,2,36
Laughing Gull,Yes,37,1,1,36
Roseate Spoonbill,Yes,37,1,1,36
Northern Mockingbird,Yes,36,1,1,35
Ghost Bat,No,35,0,1,35
Dancing,No,34,0,0,34
Common Tody-Flycatcher,No,36,3,3,33
Magnificent Frigatebird,Yes,39,7,7,32
Silver-throated Tanager,Yes,34,2,2,32
Marsh Wren,Yes,33,1,1,32
Plain Chachalaca,Yes,33,2,2,32
Shining Sunbeam,Yes,33,1,1,32
White-crowned Sparrow,Yes,33,1,1,32
Rhinocerous Auklet,No,32,0,0,32
Rufous-vented Chachalaca,Yes,34,3,3,31
Barred Antshrike,Yes,33,2,2,31
Aplomado Falcon,Yes,32,1,2,31
Pacific White-sided Dolphin,No,31,0,1,31
Ruddy-headed Goose,No,31,0,1,31
Viscacha,No,31,0,0,31
Collared Trogon,Yes,32,2,2,30
Great Frigatebird,No,32,350,3,30
Black-and-White Warbler,No,30,0,0,30
Swallow,No,30,0,0,30
Pale-billed Woodpecker,Yes,30,1,1,29
Yellow-headed Caracara,Yes,30,1,1,29
Yellow-throated Warbler,Yes,30,1,1,29
